epoch,accuracy,loss,val_accuracy,val_loss
0,0.5982211,1.4173879754601069,0.8506568074226379,0.12689895927906036
1,0.9164435,0.25790614411576884,0.9083024859428406,0.014132772572338581
2,0.95112854,0.1537944332028349,0.8817752599716187,0.02243693359196186
3,0.96502805,0.10730148999182447,0.9320240020751953,0.011897084303200245
4,0.9721372,0.0864999585639371,0.9378905892372131,0.00012838016846217215
5,0.9777799,0.06847904418615681,0.9380180835723877,0.06796759366989136
6,0.980394,0.05847100878757389,0.9427369236946106,0.0002847504511009902
7,0.9831038,0.05230965760202299,0.9429919719696045,1.0728830375228426e-06
8,0.9826575,0.053182160784710115,0.9505165219306946,0.0
9,0.9866743,0.040511476953735824,0.9519193768501282,0.0
10,0.9861961,0.0418546772945268,0.9570207595825195,0.00015090756642166525
11,0.98743945,0.03886113869280206,0.9508991241455078,0.04287303611636162
12,0.9893522,0.03243532933565726,0.9586787223815918,0.0
13,0.9883639,0.0369289255538689,0.948731005191803,0.02084748074412346
14,0.9902448,0.03138453842193594,0.9547251462936401,8.22540732769994e-06
15,0.9907549,0.028740507386535347,0.9443948268890381,0.00012730741582345217
16,0.9908187,0.030693534663610918,0.9419716596603394,1.1920928244535389e-07
17,0.9899898,0.03148008381332511,0.9412064552307129,9.7508447652217e-05
18,0.9919982,0.02647316886396297,0.940951406955719,2.169585604860913e-05
19,0.9902767,0.029736557399134604,0.9549802541732788,5.960462772236497e-07
